,file,sentence
0,common_voice_mn_18785480,"Иймэрхүү хоол идсээр байгаад дэндүү туранхай, сул дорой болсон байлаа."
1,common_voice_mn_23847514,Тэгэхээр нь мориныхоо амыг татан ташуур өгөхийг болив.
2,common_voice_mn_22947513,Хорт хавдраар өвчлөх явдлыг эрс бууруулахаар эрчимтэй ажиллах төлөвлөгөө гаргасан.
3,common_voice_mn_18580938,"""""""Та нарын арьсыг өвчвөл ямар вэ"""" гэж амьтны эрх ашгийг хамгаалагчид тулган асууж байлаа."""
4,common_voice_mn_18577175,"Нөхөн сэргээлт хийдэггүй, орон нутгийг дэмждэггүй, орлогоо нуун дарагдуулдаг аж ахуйн нэгжийг дэмжихгүй ээ."
5,common_voice_mn_23921404,Өмнө нь хэлэлцээний ахицад гарах үүрэг хариуцлагыг Европын шүүхэд ногдоно гэдгийг дурдаад байсан юм.
6,common_voice_mn_18971635,Нөөц болон бүтээгдэхүүний тусгаарлалт нь Остромын олон төвт засаг захиргааны тогтолцооноос үүссэн гэж болно.
7,common_voice_mn_19950403,Богд хан ууланд амралтын өдөр хэрхэн өрнөж буйг сурвалжлахаар зорилоо.
8,common_voice_mn_23759619,Дарангуйллыг зогсоох учиртай ч үүнийг зөв замаар хийх ёстой.
9,common_voice_mn_18599963,Сурснаараа аж ахуй эрхэлж хоолоо олж иднэ гэж бодно.
10,common_voice_mn_18709604,"""Албаар дампууруулаад, """"Голомт"""" банктай нэгтгэж тэндээсээ гайгүй хувь хүртсэн ч гэлцдэг."""
11,common_voice_mn_20584960,Надад захидлууд байгаа хэмээн хэлэв.
12,common_voice_mn_18577805,Менежерүүд үүнтэй адил бизнесийн үйл ажиллагаагаа хянан засаж залруулах шаардлага зүй ёсоор гардаг.
13,common_voice_mn_20990701,"""""""Шаманизм"""" гэдэг үг европт нэгдсэн нэгэн салбарыг, нийгмийн бүлгийг, институтийг нэрлэж байгаа."""
14,common_voice_mn_19670533,Энэ дэвжээний хүчтэнүүдэд бүгдэд нь дээшээ цойлж барилдах боломж бий.
15,common_voice_mn_18577654,"Тэгээд л газрын гүнээс гарсан цэл хүйтэн усаар үс толгойгоо угааж, хөгжилдөн шуугилддаг юм."
16,common_voice_mn_19513571,Хэд хоногоос оруулна даа гээд бүр хөдөлж өгөхгүй байв.
17,common_voice_mn_23689569,Та нарын дарга гэж байгаа биз дээ?
18,common_voice_mn_23379642,"""Сэвжидийн нүд сэргэж, """"Юу ч бол мэндтэй л болсон, Дэвшилттэй шүү"""" гэв."""
19,common_voice_mn_23696712,"Ээж ээ, би хүүхэлдэйгээ энэ ягаан алчуураар өлгийдүүлье гээд гүйгээд ирлээ."
20,common_voice_mn_18961230,"Арван гурван санг аливаа бузрыг арилгахад, мөн хийморь баруун тийшээ хазайсан үед айлтгуулна."
21,common_voice_mn_21668199,"Гэртээ бол Мария бяцхан охиноо усанд оруулж, гэрийн ажил хийж ээж, эзэгтэйн үүргийг гүйцэтгэнэ."
22,common_voice_mn_23641037,"""Өөр нэгэн өнцгөөс хэлбэл, монгол бичиг аль ч талаасаа тун """"уян хатан"""" бичиг."""
23,common_voice_mn_18577604,Ингэхэд би чамд шинэ хослол худалдаж авсан.
24,common_voice_mn_20177239,Тэнхимийн багш улааны энэ дэвхрэгийн гишгэх газраа олохгүй онгирч байгааг.
25,common_voice_mn_19521607,Ой ч хүрээгүй нялх хүүхэд манайд байгаа шүү дээ.
26,common_voice_mn_19521609,Орныхоо дээд талд хүрэн гудас дэвсээд үд болтол үхсэн мэт нам унтжээ.
27,common_voice_mn_18584585,Удвал Уянга хоёр том өрөөний ширээний хоёр талд суусан хэвээр.
28,common_voice_mn_18584587,Амьд явахад алтан аяганаас ус ууна гэж үнэн юмаа.
29,common_voice_mn_21410760,Цаана чинь чамайг татаг гээд хаяж орхисон иштэй тамхи бишгүйдээ байгаа биз.
30,common_voice_mn_21410801,Эрт урьд цагт Болдоггүй Бор өвгөн гэж нэг өвгөн аж төрөн суудаг байж гэнэ.
31,common_voice_mn_20401663,Тэгээд байнга өлмий дээрээ өндөлзөн хөлөөрөө ийш тийш өшиглөдөг байсан.
32,common_voice_mn_20401671,Өвдөөд байсан газраа сая иод түрхүүлж өвчин нь жаал дарагдаад явж байна.
33,common_voice_mn_21636403,Энэ үед тэрбээр юу ч анзаарахгүй.
34,common_voice_mn_21636504,Харин Борын хувьд яаж буудахыг заалгах хэрэггүй байв.
35,common_voice_mn_18705157,Мунхаг би өөрийн зоригоор танд шадарлаж ирлээ.
36,common_voice_mn_18705160,Энэ зах харин Азийн бусад захуудтай адил төрөлжсөн маягийн зохион байгуулалттай.
37,common_voice_mn_18582705,Мэри биеэ эзэмдэн барихыг хичээн зогсоно.
38,common_voice_mn_18582706,Монгол бичиг монгол ухаанаар бүтээсэн бүхий л мэдлэг ухааныг тээж ирсэн билээ.
