row_index,audio_filepath,audio_exists,duration,text,split,text_raw
0,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18785480.wav,True,5.112,"Иймэрхүү хоол идсээр байгаад дэндүү туранхай, сул дорой болсон байлаа.",train,"Иймэрхүү хоол идсээр байгаад дэндүү туранхай, сул дорой болсон байлаа."
1,D:\Projects\speech-recognition-demo\audios\common_voice_mn_23847514.wav,True,4.5714375,Тэгэхээр нь мориныхоо амыг татан ташуур өгөхийг болив.,train,Тэгэхээр нь мориныхоо амыг татан ташуур өгөхийг болив.
2,D:\Projects\speech-recognition-demo\audios\common_voice_mn_22947513.wav,True,5.472,Хорт хавдраар өвчлөх явдлыг эрс бууруулахаар эрчимтэй ажиллах төлөвлөгөө гаргасан.,train,Хорт хавдраар өвчлөх явдлыг эрс бууруулахаар эрчимтэй ажиллах төлөвлөгөө гаргасан.
3,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18580938.wav,True,7.32,"""""""Та нарын арьсыг өвчвөл ямар вэ"""" гэж амьтны эрх ашгийг хамгаалагчид тулган асууж байлаа.""",train,"""""""Та нарын арьсыг өвчвөл ямар вэ"""" гэж амьтны эрх ашгийг хамгаалагчид тулган асууж байлаа."""
4,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18577175.wav,True,9.6,"Нөхөн сэргээлт хийдэггүй, орон нутгийг дэмждэггүй, орлогоо нуун дарагдуулдаг аж ахуйн нэгжийг дэмжихгүй ээ.",val,"Нөхөн сэргээлт хийдэггүй, орон нутгийг дэмждэггүй, орлогоо нуун дарагдуулдаг аж ахуйн нэгжийг дэмжихгүй ээ."
5,D:\Projects\speech-recognition-demo\audios\common_voice_mn_23921404.wav,True,9.12,Өмнө нь хэлэлцээний ахицад гарах үүрэг хариуцлагыг Европын шүүхэд ногдоно гэдгийг дурдаад байсан юм.,train,Өмнө нь хэлэлцээний ахицад гарах үүрэг хариуцлагыг Европын шүүхэд ногдоно гэдгийг дурдаад байсан юм.
6,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18971635.wav,True,9.912,Нөөц болон бүтээгдэхүүний тусгаарлалт нь Остромын олон төвт засаг захиргааны тогтолцооноос үүссэн гэж болно.,val,Нөөц болон бүтээгдэхүүний тусгаарлалт нь Остромын олон төвт засаг захиргааны тогтолцооноос үүссэн гэж болно.
7,D:\Projects\speech-recognition-demo\audios\common_voice_mn_19950403.wav,True,6.0,Богд хан ууланд амралтын өдөр хэрхэн өрнөж буйг сурвалжлахаар зорилоо.,train,Богд хан ууланд амралтын өдөр хэрхэн өрнөж буйг сурвалжлахаар зорилоо.
8,D:\Projects\speech-recognition-demo\audios\common_voice_mn_23759619.wav,True,4.56,Дарангуйллыг зогсоох учиртай ч үүнийг зөв замаар хийх ёстой.,train,Дарангуйллыг зогсоох учиртай ч үүнийг зөв замаар хийх ёстой.
9,D:\Projects\speech-recognition-demo\audios\common_voice_mn_18599963.wav,True,5.712,Сурснаараа аж ахуй эрхэлж хоолоо олж иднэ гэж бодно.,train,Сурснаараа аж ахуй эрхэлж хоолоо олж иднэ гэж бодно.
